Date,TATAMOTORS_Open,TATAMOTORS_High,TATAMOTORS_Low,TATAMOTORS_Close,M&M_Open,M&M_High,M&M_Low,M&M_Close
31-01-2019,175.800003,183.899994,175.800003,181.199997,678,683,672.75,680.049988
01-02-2019,182,185.899994,179.550003,181.649994,689,715.400024,680.549988,688.400024
04-02-2019,181,183.699997,178.199997,180.25,688,688.400024,670.349976,674.450012
05-02-2019,180.699997,181.149994,174.699997,175.800003,675.25,692.599976,672.650024,684.900024
06-02-2019,176,179.449997,171.899994,178.5,687.900024,698.25,682.049988,695.099976
07-02-2019,179,185,178.899994,182.850006,695,708.900024,693.099976,700.900024
08-02-2019,164.600006,164.600006,129,150.699997,702,706.700012,678.549988,682.099976
11-02-2019,150.149994,153.25,145.850006,152.649994,669.400024,673.400024,645.200012,647.549988
12-02-2019,152.949997,154.399994,150.600006,151.800003,647,657.799988,644,648.700012
14-02-2019,155.949997,161,153.800003,159.850006,640.700012,642.400024,632.299988,634.400024
15-02-2019,159.800003,162.300003,153.149994,161.649994,635,636.900024,618.799988,627.549988
18-02-2019,162.800003,163.449997,159.199997,162.899994,630,630,615.599976,624.700012
19-02-2019,164,165.949997,161.550003,163.75,627,642,625.25,632.599976
20-02-2019,164.449997,166.699997,163.75,164.800003,637,637.299988,628.150024,633.549988
21-02-2019,165.600006,170.600006,165.100006,169.699997,633.549988,635.950012,625,634.200012
22-02-2019,170,175.300003,167.850006,174.300003,635,648.599976,632.25,646.599976
25-02-2019,175.149994,177.5,173.5,175.75,649.900024,653.950012,642.299988,650.700012
26-02-2019,173,183.449997,172.5,182.649994,644.799988,656,640,651.299988
27-02-2019,183.550003,186.100006,176.100006,177.350006,654.5,662,647.150024,656.150024
28-02-2019,180,181.550003,176.600006,177.449997,663.75,663.75,642.5,645.900024
01-03-2019,178.649994,184,177.350006,180.300003,650,652,641,649.700012
05-03-2019,183.800003,198.350006,181.399994,194.050003,649.849976,657.900024,642.049988,656.75
06-03-2019,195.399994,195.399994,187.75,188.800003,660,664.849976,654,658.900024
07-03-2019,191.399994,193.449997,187.800003,189.300003,661.700012,677.5,654.200012,671.799988
08-03-2019,187.800003,187.949997,180,181.199997,672,679.700012,666.400024,670.150024
11-03-2019,182,184.600006,181.050003,181.850006,671.950012,683.849976,671.5,681.049988
12-03-2019,184.399994,186,183.550003,184.800003,686.900024,693.099976,683.349976,687.900024
13-03-2019,184.449997,184.899994,180.399994,181.699997,688.400024,689.400024,681.25,684.200012
14-03-2019,181.5,182.449997,177.649994,179.550003,683,688,677.150024,685.900024
15-03-2019,180.199997,181.399994,177.600006,180,688.25,697,687,694.599976
18-03-2019,181,184.699997,179.5,182.25,696,704.200012,682.049988,684.200012
19-03-2019,182,184.5,180.75,182.850006,686,693.799988,675.099976,689.400024
20-03-2019,183,183.449997,179.600006,180.199997,689,694.349976,676.150024,678.599976
22-03-2019,181.949997,182,174.899994,175.399994,678.700012,684.5,670,678.799988
25-03-2019,173.699997,173.800003,170.550003,171.300003,672,675,663.400024,664.599976
26-03-2019,171.899994,173.600006,171.600006,173.100006,664.650024,672.400024,661,669.599976
27-03-2019,174,175,169.149994,169.850006,672.049988,672.650024,658.549988,660.049988
28-03-2019,169,171.399994,167.550003,170.550003,659.049988,662.75,653.599976,655.950012
01-04-2019,176.350006,189.75,176.350006,187.350006,678.150024,689,659,660.900024
02-04-2019,188.050003,204.399994,185.300003,202.949997,665,670.900024,661.450012,668.599976
03-04-2019,205,208.949997,199.199997,201.350006,672.799988,676.75,656.900024,658.450012
04-04-2019,201.850006,206.899994,201.050003,206.149994,661,662.700012,651.200012,653.349976
05-04-2019,208,209.5,202.300003,205.149994,657.5,663,654,658.200012
08-04-2019,206,207.399994,198.800003,200.550003,660.400024,668.349976,658.299988,667
09-04-2019,200,207.600006,198.149994,205.899994,667.799988,669.799988,660.450012,667.849976
10-04-2019,206,217.399994,205.600006,216.050003,672.599976,675,663.099976,670.25
11-04-2019,216.600006,219.199997,213.300003,218.199997,669.299988,679.75,669.299988,672.75
12-04-2019,218.949997,219,215,215.949997,674,679.5,667.549988,678.200012
15-04-2019,217.149994,233.25,217.149994,231.75,680,686,673.299988,683.200012
16-04-2019,233.800003,234.100006,225.649994,230.5,687.25,695.5,684.799988,688.099976
18-04-2019,231.899994,239.300003,230.600006,236.25,689.599976,691.950012,681.25,684.650024
22-04-2019,235,239.350006,231.699997,234.850006,681,685.75,670.900024,673.400024
23-04-2019,235,235.850006,230.25,231.649994,671,675.849976,663.75,665.75
24-04-2019,231.649994,232.949997,217.600006,223.600006,668,669.200012,662.25,668.150024
25-04-2019,223.399994,225.899994,220.25,221.850006,671.799988,673,664,665.150024
26-04-2019,221.899994,221.899994,214,215.600006,666.599976,668.400024,651.5,659.450012
30-04-2019,216.199997,218.649994,210.300003,214.300003,659.700012,662.200012,640,645.299988
02-05-2019,211,212.649994,206.5,207.300003,646,660.700012,635.200012,645.900024
